-----------------------------------------------------------------------------------------------
Benchmark                                     Time             CPU   Iterations UserCounters...
-----------------------------------------------------------------------------------------------
memory_read<std::uint32_t>/64               132 ns          132 ns      5275495 bytes_per_second=28.9433G/s 4096
memory_read<std::uint32_t>/96               198 ns          198 ns      3519099 bytes_per_second=28.9437G/s 6144
memory_read<std::uint32_t>/128              264 ns          264 ns      2651474 bytes_per_second=28.9446G/s 8192
memory_read<std::uint32_t>/192              395 ns          395 ns      1768932 bytes_per_second=28.9391G/s 12288
memory_read<std::uint32_t>/256              528 ns          528 ns      1297184 bytes_per_second=28.9259G/s 16384
memory_read<std::uint32_t>/384              794 ns          794 ns       868517 bytes_per_second=28.8147G/s 24576
memory_read<std::uint32_t>/512             1059 ns         1059 ns       646430 bytes_per_second=28.8283G/s 32768
memory_read<std::uint32_t>/768             1654 ns         1654 ns       423702 bytes_per_second=27.6821G/s 49152
memory_read<std::uint32_t>/1024            2202 ns         2202 ns       317470 bytes_per_second=27.7203G/s 65536
memory_read<std::uint32_t>/1536            3272 ns         3272 ns       213701 bytes_per_second=27.9795G/s 98304
memory_read<std::uint32_t>/2048            4341 ns         4341 ns       161141 bytes_per_second=28.1213G/s 131072
memory_read<std::uint32_t>/3072            6464 ns         6464 ns       105937 bytes_per_second=28.3281G/s 196608
memory_read<std::uint32_t>/4096            8592 ns         8592 ns        80349 bytes_per_second=28.4143G/s 262144
memory_read<std::uint32_t>/6144           13026 ns        13026 ns        53438 bytes_per_second=28.1133G/s 393216
memory_read<std::uint32_t>/8192           17335 ns        17335 ns        40332 bytes_per_second=28.1682G/s 524288
memory_read<std::uint32_t>/12288          25928 ns        25927 ns        26962 bytes_per_second=28.2492G/s 786432
memory_read<std::uint32_t>/16384          34417 ns        34417 ns        20406 bytes_per_second=28.3741G/s 1048576
memory_read<std::uint32_t>/24576          51684 ns        51684 ns        13361 bytes_per_second=28.3424G/s 1572864
memory_read<std::uint32_t>/32768          68904 ns        68902 ns        10054 bytes_per_second=28.3466G/s 2097152
memory_read<std::uint32_t>/49152         103002 ns       103003 ns         6733 bytes_per_second=28.4429G/s 3145728
memory_read<std::uint32_t>/65536         137438 ns       137437 ns         5056 bytes_per_second=28.4222G/s 4194304
memory_read<std::uint32_t>/98304         208173 ns       208172 ns         3418 bytes_per_second=28.1468G/s 6291456
memory_read<std::uint32_t>/131072        281525 ns       281523 ns         2529 bytes_per_second=27.7509G/s 8388608
memory_read<std::uint32_t>/196608        420203 ns       420203 ns         1698 bytes_per_second=27.8883G/s 12582912
memory_read<std::uint32_t>/262144        557301 ns       557298 ns         1224 bytes_per_second=28.0371G/s 16777216
memory_read<std::uint32_t>/393216        838272 ns       838268 ns          835 bytes_per_second=27.9594G/s 25165824
memory_read<std::uint32_t>/524288       1138335 ns      1138342 ns          592 bytes_per_second=27.4522G/s 33554432
memory_read<std::uint32_t>/786432       1694733 ns      1694727 ns          395 bytes_per_second=27.6593G/s 50331648
memory_read<std::uint32_t>/1048576      2287824 ns      2287834 ns          297 bytes_per_second=27.3184G/s 67108864
memory_read<std::uint32_t>/1572864      3459750 ns      3459742 ns          200 bytes_per_second=27.0974G/s 100663296
memory_read<std::uint32_t>/2097152      4651568 ns      4651447 ns          149 bytes_per_second=26.8734G/s 134217728
memory_read<std::uint32_t>/3145728      7216720 ns      7216557 ns           70 bytes_per_second=25.9819G/s 201326592
memory_read<std::uint32_t>/4194304      9757225 ns      9757266 ns           57 bytes_per_second=25.6219G/s 268435456
memory_read<std::uint32_t>/6291456     15373637 ns     15373578 ns           34 bytes_per_second=24.3925G/s 402653184
memory_read<std::uint32_t>/8388608     20657464 ns     20657470 ns           32 bytes_per_second=24.2043G/s 536870912
memory_read<std::uint32_t>/12582912    33675832 ns     33675811 ns           19 bytes_per_second=22.2712G/s 805306368
memory_read<std::uint32_t>/16777216    50147769 ns     50147308 ns           12 bytes_per_second=19.9413G/s 1073741824
memory_read<std::uint32_t>/25165824    96068792 ns     96067343 ns            6 bytes_per_second=15.614G/s 1610612736
memory_read<std::uint32_t>/33554432   184528783 ns    184526249 ns            3 bytes_per_second=10.8386G/s 2147483648
memory_read<std::uint32_t>/50331648   615440825 ns    615439134 ns            1 bytes_per_second=4.87457G/s 3221225472
memory_read<std::uint64_t>/64              66.0 ns         66.0 ns     10489953 bytes_per_second=57.8417G/s 4096
memory_read<std::uint64_t>/96              99.0 ns         99.0 ns      7034345 bytes_per_second=57.8271G/s 6144
memory_read<std::uint64_t>/128              132 ns          132 ns      5293040 bytes_per_second=57.8071G/s 8192
memory_read<std::uint64_t>/192              198 ns          198 ns      3531923 bytes_per_second=57.8631G/s 12288
memory_read<std::uint64_t>/256              264 ns          264 ns      2651642 bytes_per_second=57.8401G/s 16384
memory_read<std::uint64_t>/384              396 ns          396 ns      1768766 bytes_per_second=57.8067G/s 24576
memory_read<std::uint64_t>/512              527 ns          527 ns      1170084 bytes_per_second=57.8918G/s 32768
memory_read<std::uint64_t>/768              853 ns          853 ns       812670 bytes_per_second=53.6486G/s 49152
memory_read<std::uint64_t>/1024            1157 ns         1157 ns       600209 bytes_per_second=52.7375G/s 65536
memory_read<std::uint64_t>/1536            1696 ns         1696 ns       412126 bytes_per_second=53.9855G/s 98304
memory_read<std::uint64_t>/2048            2240 ns         2240 ns       311812 bytes_per_second=54.487G/s 131072
memory_read<std::uint64_t>/3072            3314 ns         3314 ns       211091 bytes_per_second=55.2535G/s 196608
memory_read<std::uint64_t>/4096            4396 ns         4396 ns       159149 bytes_per_second=55.5415G/s 262144
memory_read<std::uint64_t>/6144            6723 ns         6723 ns       100342 bytes_per_second=54.4705G/s 393216
memory_read<std::uint64_t>/8192            8923 ns         8923 ns        77732 bytes_per_second=54.7239G/s 524288
memory_read<std::uint64_t>/12288          13305 ns        13305 ns        52465 bytes_per_second=55.0495G/s 786432
memory_read<std::uint64_t>/16384          17684 ns        17684 ns        40539 bytes_per_second=55.2237G/s 1048576
memory_read<std::uint64_t>/24576          26417 ns        26416 ns        26471 bytes_per_second=55.4527G/s 1572864
memory_read<std::uint64_t>/32768          35186 ns        35186 ns        19876 bytes_per_second=55.5091G/s 2097152
memory_read<std::uint64_t>/49152          52711 ns        52711 ns        12996 bytes_per_second=55.5804G/s 3145728
memory_read<std::uint64_t>/65536          70325 ns        70325 ns         9786 bytes_per_second=55.5453G/s 4194304
memory_read<std::uint64_t>/98304         110073 ns       110073 ns         6320 bytes_per_second=53.2319G/s 6291456
memory_read<std::uint64_t>/131072        146571 ns       146570 ns         4764 bytes_per_second=53.3024G/s 8388608
memory_read<std::uint64_t>/196608        219707 ns       219707 ns         3179 bytes_per_second=53.338G/s 12582912
memory_read<std::uint64_t>/262144        293917 ns       293916 ns         2388 bytes_per_second=53.1615G/s 16777216
memory_read<std::uint64_t>/393216        439272 ns       439269 ns         1595 bytes_per_second=53.3557G/s 25165824
memory_read<std::uint64_t>/524288        590599 ns       590596 ns         1089 bytes_per_second=52.9127G/s 33554432
